created_at,mac,rssi,interface
2022-04-06 12:12:46.168982,D8:01:00:07:6B:5C,-82,ESP32_2
2022-04-06 12:12:46.231857,D8:01:00:07:6B:5C,-95,ESP32_5
2022-04-06 12:12:46.978830,DC:2C:6E:18:84:EB,-93,ESP32_5
2022-04-06 12:12:47.151891,DC:2C:6E:18:84:EB,-83,ESP32_2
2022-04-06 12:12:47.269199,D8:01:00:07:6B:5C,-86,ESP32_2
2022-04-06 12:12:47.811955,DF:99:1C:50:22:47,-92,ESP32_2
2022-04-06 12:12:51.267647,D8:01:00:07:6B:5C,-86,ESP32_2
2022-04-06 12:12:51.883621,DC:2C:6E:18:84:EB,-95,ESP32_8
2022-04-06 12:12:52.072146,DC:2C:6E:18:84:EB,-90,ESP32_1
2022-04-06 12:12:53.152443,DC:2C:6E:18:84:EB,-89,ESP32_1
2022-04-06 12:12:54.874212,DC:2C:6E:18:84:EB,-96,ESP32_5
2022-04-06 12:12:55.332457,D8:01:00:07:6B:5C,-96,ESP32_3
2022-04-06 12:12:55.465176,DF:99:1C:50:22:47,-91,ESP32_1
2022-04-06 12:12:55.979512,DC:2C:6E:18:84:EB,-93,ESP32_7
2022-04-06 12:12:56.079231,DC:2C:6E:18:84:EB,-90,ESP32_2
2022-04-06 12:12:57.068431,DC:2C:6E:18:84:EB,-79,ESP32_1
2022-04-06 12:12:57.615134,D8:01:00:07:6B:5C,-95,ESP32_5
2022-04-06 12:12:57.990063,DC:2C:6E:18:84:EB,-85,ESP32_1
2022-04-06 12:12:58.090865,DF:99:1C:50:22:47,-80,ESP32_1
2022-04-06 12:12:59.041282,D8:01:00:07:6B:5C,-74,ESP32_1
2022-04-06 12:13:00.958663,DC:2C:6E:18:84:EB,-96,ESP32_6
2022-04-06 12:13:01.555683,D8:01:00:07:6B:5C,-69,ESP32_1
2022-04-06 12:13:05.462867,D8:01:00:07:6B:5C,-78,ESP32_1
2022-04-06 12:13:05.464892,D8:01:00:07:6B:5C,-79,ESP32_6
2022-04-06 12:13:05.989656,DC:2C:6E:18:84:EB,-87,ESP32_1
2022-04-06 12:13:09.359173,D8:01:00:07:6B:5C,-84,ESP32_6
2022-04-06 12:13:10.526031,D8:01:00:07:6B:5C,-85,ESP32_2
2022-04-06 12:13:10.970668,DC:2C:6E:18:84:EB,-92,ESP32_6
2022-04-06 12:13:11.148788,DC:2C:6E:18:84:EB,-88,ESP32_1
2022-04-06 12:13:11.925667,D8:01:00:07:6B:5C,-71,ESP32_1
2022-04-06 12:13:11.961591,D8:01:00:07:6B:5C,-88,ESP32_3
2022-04-06 12:13:11.975239,D8:01:00:07:6B:5C,-81,ESP32_6
2022-04-06 12:13:13.079673,D8:01:00:07:6B:5C,-90,ESP32_5
2022-04-06 12:13:13.201245,D8:01:00:07:6B:5C,-90,ESP32_2
2022-04-06 12:13:13.444268,DF:99:1C:50:22:47,-89,ESP32_6
2022-04-06 12:13:13.462957,DF:99:1C:50:22:47,-89,ESP32_1
2022-04-06 12:13:14.372092,D8:01:00:07:6B:5C,-88,ESP32_3
2022-04-06 12:13:14.411329,D8:01:00:07:6B:5C,-87,ESP32_1
